"id","country","name","sex","age","president","start_president","end_president","ministry","start_minister","end_minister","non_party","president_party","economist","lawyer","inner_circle","party_leader","exp_executive","exp_congress","exp_ngo","exp_thinktanks","exp_business","political_kinship"
20,"Chile","Aylwin Oyarzún, Mariana","woman",50,"Ricardo Lagos",2000-03-11,2006-03-11,"Educación",2000-03-11,2003-03-03,0,0,0,0,0,1,0,1,0,0,0,1
21,"Chile","Bachelet Jeria, Michelle","woman",50,"Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional",2002-01-07,2004-09-29,0,1,0,0,0,0,0,0,1,1,0,0
22,"Chile","Bachelet Jeria, Michelle","woman",48,"Ricardo Lagos",2000-03-11,2006-03-11,"Salud",2000-03-11,2002-01-07,0,1,0,0,0,0,0,0,1,1,0,0
23,"Chile","Baranda Ferran, Bruno","man",49,"Sebastián Piñera",2010-03-11,2014-03-11,"Desarrollo Social",2013-06-09,2014-03-11,0,1,0,1,0,1,0,0,1,0,1,0
24,"Chile","Barría Iroume, María Soledad","woman",52,"Michelle Bachelet",2006-03-11,2010-03-11,"Salud",2006-03-11,2008-10-28,0,1,0,0,1,0,0,0,0,0,0,1
25,"Chile","Bates Hidalgo, Luis","man",68,"Ricardo Lagos",2000-03-11,2006-03-11,"Justicia",2003-03-03,2006-03-11,1,0,0,1,0,0,0,0,1,0,0,0
26,"Chile","Benítez Pereira, María Ignacia","woman",57,"Sebastián Piñera",2010-03-11,2014-03-11,"Medio Ambiente",2010-03-11,2014-03-11,0,0,0,0,0,0,0,0,0,0,0,0
27,"Chile","Beyer Burgos, Harald","man",47,"Sebastián Piñera",2010-03-11,2014-03-11,"Educación",2011-12-29,2013-04-18,1,0,1,0,1,0,0,0,1,1,0,0
28,"Chile","Biehl del Rio, John","man",58,"Eduardo Frei",1994-03-11,2000-03-11,"SEGPRES",1998-08-01,1999-06-22,1,0,0,1,0,0,0,0,0,0,0,0
29,"Chile","Bilbao Mendezona, Josefina","woman",61,"Eduardo Frei",1994-03-11,2000-03-11,"SERNAM",1994-03-11,2000-03-11,1,0,0,0,1,0,0,0,0,0,0,0
